iter	Passed	Remaining
0	88	88077
1	92	46150
2	106	35389
3	117	29151
4	120	24052
5	123	20521
6	145	20589
7	155	19261
8	165	18210
9	175	17371
10	184	16615
11	188	15502
12	195	14843
13	207	14593
14	214	14108
15	222	13713
16	231	13357
17	238	13032
18	248	12804
19	256	12571
20	263	12289
21	272	12113
22	278	11824
23	286	11632
24	293	11445
25	300	11267
26	309	11135
27	316	10990
28	323	10838
29	330	10690
30	338	10583
31	340	10290
32	347	10195
33	357	10154
34	372	10273
35	385	10323
36	401	10452
37	416	10535
38	428	10551
39	440	10561
40	445	10414
41	453	10350
42	461	10281
43	471	10237
44	479	10178
45	488	10124
46	497	10083
47	505	10032
48	515	10004
49	523	9947
50	542	10090
51	551	10058
52	559	10005
53	569	9976
54	578	9942
55	586	9893
56	587	9727
57	595	9671
58	603	9631
59	612	9590
60	619	9538
61	627	9486
62	635	9455
63	643	9408
64	652	9381
65	660	9342
66	670	9338
67	679	9309
68	687	9271
69	695	9238
70	702	9195
71	710	9154
72	717	9114
73	726	9096
74	729	8993
75	740	9004
76	749	8982
77	758	8971
78	768	8955
79	776	8931
80	777	8825
81	786	8804
82	788	8714
83	797	8701
84	806	8684
85	815	8663
86	817	8576
87	820	8507
88	823	8431
89	827	8364
90	829	8282
91	838	8274
92	840	8201
93	850	8199
94	859	8184
95	871	8205
96	881	8208
97	885	8150
98	888	8088
99	892	8029
100	900	8018
101	909	8007
102	918	8001
103	929	8007
104	945	8058
105	948	7996
106	964	8051
107	980	8094
108	996	8144
109	1013	8197
110	1032	8268
111	1049	8324
112	1080	8485
113	1096	8524
114	1113	8568
115	1115	8502
116	1116	8428
117	1119	8365
118	1129	8364
119	1138	8352
120	1143	8307
121	1153	8299
122	1163	8298
123	1173	8288
124	1174	8222
125	1183	8206
126	1197	8234
127	1207	8223
128	1215	8204
129	1219	8159
130	1229	8156
131	1233	8112
132	1240	8085
133	1246	8055
134	1256	8052
135	1267	8049
136	1276	8038
137	1278	7988
138	1287	7975
139	1298	7975
140	1312	7996
141	1322	7991
142	1334	7995
143	1347	8008
144	1349	7955
145	1357	7942
146	1365	7925
147	1367	7870
148	1375	7854
149	1377	7805
150	1379	7754
151	1388	7744
152	1396	7732
153	1405	7721
154	1414	7709
155	1416	7663
156	1425	7655
157	1426	7602
158	1434	7586
159	1442	7572
160	1451	7564
161	1459	7551
162	1469	7545
163	1478	7534
164	1485	7517
165	1493	7503
166	1497	7468
167	1499	7425
168	1508	7417
169	1512	7386
170	1517	7357
171	1528	7358
172	1538	7355
173	1546	7340
174	1551	7312
175	1560	7305
176	1568	7295
177	1577	7286
178	1584	7265
179	1591	7250
180	1601	7244
181	1609	7233
182	1613	7201
183	1621	7192
184	1632	7190
185	1641	7182
186	1642	7140
187	1651	7133
188	1659	7120
189	1668	7113
190	1677	7106
191	1687	7103
192	1697	7095
193	1706	7090
194	1715	7082
195	1719	7052
196	1727	7041
197	1736	7034
198	1740	7003
199	1749	6998
200	1758	6989
201	1766	6978
202	1768	6944
203	1770	6909
204	1779	6901
205	1781	6868
206	1790	6859
207	1799	6850
208	1801	6818
